Temp_C,Date,Hour,AM_PM,Time,Date_Time,Logger_ID,MO,Tide_AMSL_m,Tide_ht,Pipe_position
39.623,2020-07-08,1:01:01,PM,13:01,7/8/2020 13:01,T11,N,1.7,H,Downstream
39.125,2020-07-08,2:01:01,PM,14:01,7/8/2020 14:01,T11,N,1.7,H,Downstream
45.101,2020-07-08,3:01:01,PM,15:01,7/8/2020 15:01,T11,N,1.7,H,Downstream
37.629,2020-07-08,4:01:01,PM,16:01,7/8/2020 16:01,T11,N,1.7,H,Downstream
36.632,2020-07-08,5:01:01,PM,17:01,7/8/2020 17:01,T11,N,1.7,H,Downstream
35.135,2020-07-08,6:01:01,PM,18:01,7/8/2020 18:01,T11,N,1.7,H,Downstream
29.145,2020-07-08,7:01:01,PM,19:01,7/8/2020 19:01,T11,N,1.7,H,Downstream
20.644,2020-07-08,8:01:01,PM,20:01,7/8/2020 20:01,T11,N,1.7,H,Downstream
14.634,2020-07-08,9:01:01,PM,21:01,7/8/2020 21:01,T11,N,1.7,H,Downstream
13.631,2020-07-08,10:01:01,PM,22:01,7/8/2020 22:01,T11,N,1.7,H,Downstream
13.631,2020-07-08,11:01:01,PM,23:01,7/8/2020 23:01,T11,N,1.7,H,Downstream
13.13,2020-07-09,12:01:01,AM,0:01,7/9/2020 0:01,T11,N,1.7,H,Downstream
13.13,2020-07-09,1:01:01,AM,1:01,7/9/2020 1:01,T11,N,1.7,H,Downstream
12.628,2020-07-09,2:01:01,AM,2:01,7/9/2020 2:01,T11,N,1.7,H,Downstream
13.13,2020-07-09,3:01:01,AM,3:01,7/9/2020 3:01,T11,N,1.7,H,Downstream
13.13,2020-07-09,4:01:01,AM,4:01,7/9/2020 4:01,T11,N,1.7,H,Downstream
13.13,2020-07-09,5:01:01,AM,5:01,7/9/2020 5:01,T11,N,1.7,H,Downstream
13.631,2020-07-09,6:01:01,AM,6:01,7/9/2020 6:01,T11,N,1.7,H,Downstream
14.634,2020-07-09,7:01:01,AM,7:01,7/9/2020 7:01,T11,N,1.7,H,Downstream
15.636,2020-07-09,8:01:01,AM,8:01,7/9/2020 8:01,T11,N,1.7,H,Downstream
16.638,2020-07-09,9:01:01,AM,9:01,7/9/2020 9:01,T11,N,1.7,H,Downstream
16.137,2020-07-09,10:01:01,AM,10:01,7/9/2020 10:01,T11,N,1.7,H,Downstream
19.142,2020-07-09,11:01:01,AM,11:01,7/9/2020 11:01,T11,N,1.7,H,Downstream
20.143,2020-07-09,12:01:01,PM,12:01,7/9/2020 12:01,T11,N,1.7,H,Downstream
23.146,2020-07-09,1:01:01,PM,13:01,7/9/2020 13:01,T11,N,1.7,H,Downstream
40.121,2020-07-09,2:01:01,PM,14:01,7/9/2020 14:01,T11,N,1.7,H,Downstream
