Day,Time,Metres,Julian_Day,Maxima
3/4/2018,1930,3.3,63,H
3/5/2018,145,1.2,64,LL
3/5/2018,754,3.8,64,HH
3/5/2018,1440,1.2,64,LL
3/5/2018,2030,3.2,64,H
3/6/2018,224,1.6,65,L
3/6/2018,825,3.6,65,HH
3/6/2018,1525,1.1,65,LL
3/6/2018,2137,3.1,65,H
3/7/2018,307,2,66,L
3/7/2018,855,3.5,66,HH
3/7/2018,1612,1,66,LL
3/7/2018,2253,3.1,66,H
3/8/2018,358,2.3,67,L
3/8/2018,926,3.3,67,HH
3/8/2018,1702,1,67,LL
3/9/2018,15,3.2,68,HH
3/9/2018,511,2.6,68,L
3/9/2018,1001,3.1,68,H
3/10/2018,134,3.2,69,HH
3/10/2018,652,2.7,69,L
3/10/2018,1048,2.9,69,H
3/10/2018,1855,1,69,LL
3/11/2018,239,3.4,70,HH
3/11/2018,826,2.6,70,L
3/11/2018,1156,2.8,70,H
3/11/2018,1956,1,70,LL
3/12/2018,328,3.5,71,HH
3/12/2018,924,2.5,71,L
3/12/2018,1313,2.8,71,H
3/12/2018,2052,0.9,71,LL
3/13/2018,408,3.5,72,HH
3/13/2018,1002,2.4,72,L
3/13/2018,1422,2.9,72,H
3/13/2018,2141,0.9,72,LL
3/14/2018,442,3.6,73,HH
3/14/2018,1035,2.2,73,L
3/14/2018,1519,3,73,H
3/14/2018,2224,0.9,73,LL
3/15/2018,511,3.6,74,HH
3/15/2018,1107,2,74,L
3/15/2018,1608,3.1,74,H
3/15/2018,2302,0.9,74,LL
3/16/2018,536,3.6,75,HH
3/16/2018,1139,1.8,75,L
3/16/2018,1653,3.2,75,H
3/16/2018,2337,0.9,75,LL
3/17/2018,558,3.6,76,HH
3/17/2018,1213,1.6,76,L
3/17/2018,1738,3.3,76,H
3/18/2018,11,1,77,LL
3/18/2018,620,3.6,77,HH
3/18/2018,1248,1.4,77,L
3/18/2018,1824,3.4,77,H
3/19/2018,45,1.2,78,LL
3/19/2018,643,3.6,78,HH
3/19/2018,1325,1.2,78,L
3/19/2018,1913,3.4,78,H
,,,,
,,,,
,,,,
,,,,
3/21/2018,159,1.8,80,L
3/21/2018,738,3.6,80,HH
3/21/2018,1447,0.8,80,LL
3/21/2018,2107,3.4,80,H 
3/22/2018,245,2.1,81,L
3/22/2018,812,3.5,81,H
3/22/2018,1534,0.7,81,LL
3/22/2018,2216,3.4,81,HH
3/23/2018,342,2.4,82,L
3/23/2018,851,3.4,82,H
3/23/2018,1627,0.7,82,LL
3/23/2018,2336,3.4,82,HH
3/24/2018,459,2.6,83,L
3/24/2018,941,3.2,83,H
3/24/2018,1727,0.6,83,LL
3/25/2018,58,3.5,84,HH
3/25/2018,635,2.6,84,L
3/25/2018,1049,3,84,H
3/25/2018,1834,0.6,84,LL
3/26/2018,208,3.6,85,HH
3/26/2018,804,2.5,85,L
3/26/2018,1212,3,85,H
3/26/2018,1944,0.7,85,LL
3/27/2018,304,3.7,86,HH
3/27/2018,908,2.2,86,L
3/27/2018,1337,3,86,H
3/27/2018,2050,0.7,86,LL
3/28/2018,348,3.7,87,HH
3/28/2018,958,2,87,L
3/28/2018,1453,3.1,87,H
3/28/2018,2147,0.7,87,LL
3/29/2018,426,3.8,88,HH
3/29/2018,1042,1.7,88,L
3/29/2018,1557,3.2,88,H
3/29/2018,2237,0.8,88,LL
3/30/2018,459,3.8,89,HH
3/30/2018,1123,1.4,89,L
3/30/2018,1654,3.3,89,H
3/30/2018,2321,1,89,LL
3/31/2018,531,3.8,90,HH
3/31/2018,1204,1.2,90,L
3/31/2018,1747,3.4,90,H
4/1/2018,2,1.3,91,L
4/1/2018,601,3.7,91,HH
4/1/2018,1243,1,91,LL
4/1/2018,1839,3.4,91,H
4/2/2018,41,1.5,92,L
4/2/2018,630,3.7,92,HH
4/2/2018,1322,0.9,92,LL
4/2/2018,1931,3.5,92,H
4/3/2018,121,1.8,93,L
4/3/2018,657,3.5,93,HH
4/3/2018,1400,0.8,93,LL
4/3/2018,2025,3.5,93,H
4/4/2018,202,2.1,94,L
4/4/2018,725,3.4,94,H
4/4/2018,1439,0.8,94,LL
4/4/2018,2123,3.5,94,HH
4/5/2018,249,2.3,95,L
4/5/2018,751,3.2,95,H
4/5/2018,1520,0.8,95,LL
4/5/2018,2224,3.4,95,HH
4/6/2018,347,2.5,96,L
4/6/2018,819,3,96,H
4/6/2018,1603,0.9,96,LL
4/6/2018,2329,3.4,96,HH
4/7/2018,511,2.6,97,L
4/7/2018,852,2.8,97,H
4/7/2018,1651,1,97,LL
4/8/2018,34,3.4,98,HH
4/8/2018,655,2.6,98,L
4/8/2018,945,2.7,98,H
4/8/2018,1746,1.1,98,LL
4/9/2018,134,3.5,99,HH
4/9/2018,814,2.4,99,L
4/9/2018,1114,2.5,99,H
4/9/2018,1847,1.2,99,LL
4/10/2018,225,3.5,100,HH
4/10/2018,858,2.2,100,L
4/10/2018,1254,2.5,100,H
4/10/2018,1950,1.2,100,LL
4/11/2018,307,3.5,101,HH
4/11/2018,932,2,101,L
4/11/2018,1414,2.6,101,H
4/11/2018,2048,1.2,101,LL
4/12/2018,341,3.5,102,HH
4/12/2018,1003,1.8,102,L
4/12/2018,1515,2.8,102,H
4/12/2018,2138,1.3,102,LL
4/13/2018,409,3.5,103,HH
4/13/2018,1034,1.6,103,L
4/13/2018,1606,3,103,H
4/13/2018,2222,1.3,103,LL
4/14/2018,433,3.5,104,HH
4/14/2018,1107,1.4,104,LL
4/14/2018,1653,3.2,104,H
4/14/2018,2302,1.5,104,L
4/15/2018,456,3.5,105,HH
4/15/2018,1141,1.1,105,LL
4/15/2018,1739,3.4,105,H
4/15/2018,2341,1.6,105,L
4/16/2018,520,3.6,106,HH
4/16/2018,1217,0.9,106,LL
4/16/2018,1826,3.5,106,H
4/17/2018,20,1.8,107,L
4/17/2018,548,3.6,107,HH
4/17/2018,1255,0.7,107,LL
4/17/2018,1916,3.6,107,H
4/18/2018,101,2,108,L
4/18/2018,618,3.6,108,H
4/18/2018,1336,0.5,108,LL
4/18/2018,2009,3.7,108,HH
4/19/2018,147,2.3,109,L
4/19/2018,652,3.5,109,H
4/19/2018,1420,0.4,109,LL
4/19/2018,2108,3.7,109,HH
4/20/2018,242,2.4,110,L
4/20/2018,731,3.4,110,H
4/20/2018,1508,0.4,110,LL
4/20/2018,2213,3.7,110,HH
4/21/2018,353,2.6,111,L
4/21/2018,819,3.2,111,H
4/21/2018,1602,0.5,111,LL
4/21/2018,2320,3.7,111,HH
4/22/2018,522,2.5,112,L
4/22/2018,922,3,112,H
4/22/2018,1701,0.6,112,LL
4/23/2018,27,3.7,113,HH
4/23/2018,651,2.4,113,L
4/23/2018,1047,2.8,113,H
4/23/2018,1806,0.8,113,LL
4/24/2018,127,3.7,114,HH
4/24/2018,802,2.1,114,L
4/24/2018,1223,2.7,114,H
4/24/2018,1913,0.9,114,LL
4/25/2018,218,3.8,115,HH
4/25/2018,856,1.8,115,L
4/25/2018,1353,2.8,115,H
4/25/2018,2019,1.1,115,LL
4/26/2018,301,3.7,116,HH
4/26/2018,941,1.5,116,L
4/26/2018,1508,2.9,116,H
4/26/2018,2118,1.3,116,LL
4/27/2018,337,3.7,117,HH
4/27/2018,1022,1.2,117,LL
4/27/2018,1610,3.1,117,H
4/27/2018,2210,1.5,117,LL
4/28/2018,410,3.7,118,HH
4/28/2018,1101,1,118,LL
4/28/2018,1705,3.3,118,H
4/28/2018,2256,1.7,118,L
4/29/2018,441,3.6,119,HH
4/29/2018,1139,0.8,119,LL
4/29/2018,1755,3.5,119,H
4/29/2018,2339,2,119,L
4/30/2018,510,3.6,120,HH
4/30/2018,1215,0.7,120,LL
4/30/2018,1842,3.6,120,H
5/1/2018,20,2.2,121,L
5/1/2018,537,3.5,121,H
5/1/2018,1251,0.6,121,LL
5/1/2018,1929,3.7,121,HH
5/2/2018,101,2.3,122,L
5/2/2018,604,3.4,122,H
5/2/2018,1326,0.6,122,LL
5/2/2018,2016,3.7,122,HH
5/3/2018,145,2.5,123,L
5/3/2018,630,3.2,123,H
5/3/2018,1402,0.7,123,LL
